make,model_principal,alias
Chrysler,Tc,tc by
Geo,Spectrum,spectrum
Cadillac,Fleetwood Brougham,fleetwood brougham (rwd)
Oldsmobile,Delta 88 Royale,delta 88 royale
Oldsmobile,Ninety-Eight Regency,ninety-eight regency
Mercedes-Benz,420,420sel
Mitsubishi,Mirage,mirage wagon
Volkswagen,Quantum,quantum syncro wagon
Mercedes-Benz,300,300d 2.5 turbo
Mercedes-Benz,300,300e 2.6
Bmw,8 Series,850i
Mercedes-Benz,190,190e
Subaru,Legacy/Outback,legacy 4wd turbo
Bmw,7 Series,735il
Mercedes-Benz,350,350sdl turbo
Toyota,Camry,camry wagon
Geo,Tracker,tracker 4wd
Mazda,Mpv,mpv 4x4
Nissan,Pathfinder,pathfinder van (cargo)
Toyota,Previa,previa all-trac
Suzuki,Samurai,samurai 2wd
Pas Inc - Gmc,Pas-Typhoon,pas-typhoon
Cadillac,Xts Limo,xts limo
Mercedes-Benz,C-Class,amg c63 coupe
Chevrolet,Malibu,malibu hybrid
Audi,A3,a3 cabriolet quattro
Lexus,Gs,gs 350 f sport
Infiniti,Qx60,qx60 hybrid awd
Volkswagen,Beetle,beetle dune
Volkswagen,Golf/Gti,golf sportwagen 4motion
Ford,F150,f150 3.5l 2wd gvwr>7599 lbs
Nissan,Juke,juke
Subaru,Impreza/Outback Sport,impreza 5-door
Alfa Romeo,4C,4c
Mercedes-Benz,Glc-Class,amg glc43 4matic
Honda,Cr-V,cr-v fwd
Nissan,Rogue,rogue hybrid  awd
Bmw,6 Series,650i xdrive gran coupe
Bmw,X4,x4 m40i
Chevrolet,Colorado,colorado zr2 4wd
Hyundai,Santa Fe,santa fe fwd
Kia,Sorento,sorento fe awd
Toyota,Camry,camry xse
Cadillac,Ats,ats
Chevrolet,Tahoe,tahoe k1500 4wd
Mercedes-Benz,Gle-Class,gle350 4matic
Chrysler,Pacifica,pacifica
Jeep,Grand Cherokee,grand cherokee srt 4wd
Toyota,Corolla,corolla im
Porsche,Macan,macan gts
Rolls-Royce,Dawn,dawn
Jeep,Wrangler,new wrangler unlimited 4wd
Volkswagen,Tiguan,tiguan limited 4motion
Jaguar,Xe,xe (296 hp)
Mercedes-Benz,G-Class,g550
Cadillac,Ct6,ct6 plug-in
Kia,Niro,niro plug-in hybrid
Acura,Mdx,mdx hybrid awd
Bmw,4 Series,440i coupe
Mercedes-Benz,Glc-Class,amg glc63 4matic
Lincoln,Mkt,mkt fwd
Toyota,Highlander,highlander hybrid awd le plus
Mercedes-Benz,S-Class,s560 convertible
Chevrolet,Silverado,silverado c10 2wd
Gmc,Sierra,sierra k10 4wd
Lincoln,Navigator,navigator l 2wd
Mercedes-Benz,E-Class,amg e63 s 4matic
Lincoln,Navigator,navigator 4wd
Porsche,Panamera,panamera turbo executive
Jaguar,F-Type,f-type s awd convertible
Bmw,M,m240i coupe m performance
Subaru,Xt,xt-dl
Toyota,Prius,prius c
Acura,Rlx,rlx
Maserati,Ghibli,ghibli
Mercedes-Benz,S-Class,s450 4matic
Chevrolet,Silverado,silverado cab chassis 2wd
Bmw,X3,x3 sdrive30i
Ford,Mustang,shelby gt350 mustang
Mercedes-Benz,S-Class,s560e
Mitsubishi,Mirage,mirage g4
Nissan,Sentra,sentra coupe
Porsche,Panamera,panamera 4 e-hybrid executive
Chevrolet,Trax,trax fwd
Bmw,X1,x1 sdrive28i
Jeep,Wrangler,wrangler 2dr 4wd
Jeep,Wrangler,wrangler rubic 4dr ecodiesel 4wd
Land Rover,Range Rover,range rover velar
Mercedes-Benz,Glb-Class,glb250 4matic
Gmc,Sierra,sierra cab chassis 2wd
Mercedes-Benz,C-Class,c300 coupe
Mercedes-Benz,E-Class,amg e63 s 4matic plus
Bmw,2 Series,228i gran coupe
Ford,Mustang,mustang mach 1
Sterling,825,825
Bmw,8 Series,840i xdrive convertible
Honda,Insight,insight touring
Cadillac,Xt5,xt5 fwd
Maserati,Ghibli,ghibli gt
Ram,1500,1500 hfe 2wd
Bentley,Continental,continental gt speed convertible
Hyundai,Kona,kona n
Porsche,Cayenne,cayenne turbo coupe
Audi,Q4 E-Tron,q4 e-tron sportback quattro
Nissan,Altima,altima awd sr/platinum
Nissan,Altima,altima sv/sl
Mercedes-Benz,Amg Gt,amg gt 43 4matic plus
Jaguar,Xe,xe p250 awd
Jeep,Gladiator,gladiator 4wd
Audi,E-Tron,e-tron sportback quattro
Ferrari,Sf90 Spider,sf90 spider
Jaguar,F-Type,f-type p450 rwd coupe
Jaguar,E-Pace,e-pace
Nissan,Z,z
Aston Martin,Dbs,dbs
Ferrari,812 Competizione,812 competizione a
Audi,Q3,q3 s-line
Maserati,Grecale,grecale gt
Volkswagen,Taos,taos
Porsche,Macan,macan
Porsche,Macan,macan s
Porsche,718,718 boxster t
Bmw,I4,i4 m50 gran coupe (19 inch wheels)
Nissan,Ariya,ariya evo plus/emp plus/prm fwd 87kwh
Honda,Cr-V,cr-v hybrid awd
Acura,Tlx,tlx type-s
Porsche,Panamera,panamera turbo s e-hybrid
Cadillac,Fleetwood,fleetwood
Gmc,Jimmy,k15 jimmy 4wd
American Motors Corporation,Eagle,eagle sx/4 4wd
Lamborghini,Murcielago,murcielago roadster
Ford,Explorer,explorer sport trac 2wd
Import Trade Services,Its 190E 2.0,its 190e 2.0
J.K. Motors,Merc Benz 300Se,merc benz 300se
Volkswagen,Corrado,corrado slc
Ferrari,Testarossa,testarossa
Volkswagen,Eurovan,eurovan
Mercedes-Benz,560,560sl
Ferrari,3.2 Mondial/Cabriolet,3.2 mondial/cabriolet
Chevrolet,Tahoe,tahoe hybrid 2wd
Suzuki,Kizashi,kizashi s
Porsche,Panamera,panamera s
Acura,Zdx,zdx 4wd
Infiniti,M56,m56x
Chevrolet,Express Cargo,express 1500 2wd cargo
Ford,Fusion,fusion s fwd
Gmc,Yukon,yukon 1500 hybrid 2wd
Lexus,Lx,lx 570
Pontiac,Firebird/Trans Am/Formula,firebird/trans am/formula
Honda,Ev Plus,ev plus
Bmw,X3,x3 xdrive28i
Chevrolet,Express Passenger,express 1500 2wd passenger
Cadillac,Cts,cts wagon
Mercedes-Benz,E-Class,e350 coupe
Mitsubishi,I-Miev,i-miev
Infiniti,G37,g37 coupe
Bmw,5 Series,550i gran turismo
Bmw,Active E,active e
Porsche,New 911 Carrera,new 911 carrera cabriolet
Scion,Fr-S,fr-s
Smart,Fortwo,fortwo coupe
Bentley,Continental Supersports Convertible,continental supersports convertible
Chevrolet,Express Cargo,express 1500 2wd conversion cargo
Gmc,Savana Cargo,savana 1500  2wd conversion (cargo)
Buick,Lacrosse,lacrosse
Mercedes-Benz,Cls-Class,cls550
Volkswagen,Routan,routan
Mini,Roadster,john cooper works roadster
Porsche,Cayenne,cayenne diesel
Ford,E350 Van,e350 van ffv
Lexus,Ct,ct 200h
Volkswagen,Golf/Gti,gti/golf gt
Nissan,Murano,murano crosscabriolet
Bmw,Z4,z4 sdrive28i
Infiniti,Qx70,qx70 rwd
Infiniti,Qx70,qx70 awd
Infiniti,Q50,q50s hybrid
Maserati,Quattroporte,quattroporte gts
Bmw,5 Series,535d xdrive
Jaguar,Xj,xj ffv
Pontiac,6000,6000
Dodge,Dart,dart gt
Pontiac,G8,g8
Land Rover,Range Rover,range rover evoque
Mercedes-Benz,Sls Amg,sls amg gt coupe
Aston Martin,Vantage,vantage gt
Bmw,I3,i3 bev
Bmw,3 Series,activehybrid 3
Honda,Crosstour,crosstour 2wd
Hyundai,Santa Fe,santa fe ultimate awd
Bmw,6 Series,alpina b6 gran coupe xdrive
Mercedes-Benz,E-Class,e550 convertible
Dodge,Journey,journey awd
Mini,Cooper,cooper s hardtop 4 door
Bmw,3 Series,328d xdrive
Gmc,Sierra,sierra c15 cab chassis 2wd
Subaru,Impreza/Outback Sport,impreza sport awd
Bmw,3 Series,340i
Nissan,Juke,juke nismo rs
Lexus,Ls,ls 460
Cadillac,Ct6,ct6 awd
Jaguar,F-Type,f-type s convertible
Daewoo,Lacetti,lacetti
Lexus,Gs,gs 300/gs 430
Pontiac,Vibe,vibe awd
Subaru,Legacy/Outback,legacy/outback wagon awd
Chevrolet,Van 1500,van 1500 awd conversion
Gmc,Savana Cargo,savana 15/25 2wd conversion (cargo)
Chevrolet,Venture,venture fwd
Mitsubishi,Nativa,nativa 2wd(puerto rico only)
Buick,Rendezvous,rendezvous awd
Gmc,Savana Passenger,savana passenger (bi-fuel)
Chrysler,Crossfire,crossfire roadster
Porsche,Turbo 2 911 Gt2,turbo 2 911 gt2
Porsche,Turbo 4 911 Cab Kit,turbo 4 911 cab kit
Infiniti,Q45,q45
Jaguar,Vdp,vdp lwb
Gmc,Savana Cargo,savana 15/25 awd conversion (cargo)
Chrysler,Pacifica,pacifica 2wd
Dodge,Magnum,magnum 2wd
Ford,Ltd,ltd
Porsche,Carrera 2 Coupe,carrera 2 coupe
Mercedes-Benz,C-Class,c55 amg
Pontiac,G6,g6 gt/gtp convertible
Jaguar,S-Type,s-type r
Cadillac,Armored Dts,armored dts
Maybach,62,62
Volvo,V50,v50 fwd
Gmc,Canyon,canyon cab chassis inc 2wd
Gmc,Envoy,envoy xl 2wd
Mitsubishi,Endeavor,endeavor 2wd
Bmw,Z4,z4 3.0i
Mercedes-Benz,Gl-Class,gl450 4matic
Porsche,Carrera 2 Cabriolet,carrera 2 cabriolet
Porsche,Turbo 4 911 Turbo,turbo 4 911 turbo
Audi,Rs 4,rs4
Audi,A6,a6 avant quattro
Lexus,Is,is 250 awd
Spyker,C8,c8 double 12 s
Bmw,3 Series,335xi
Lamborghini,Murcielago,murcielago
Audi,A4,a4 cabriolet
Buick,Terraza,terraza fwd
Roush Performance,F150,stage 3 f150 super cab 2wd
Pininfarina,Spider,spider
Jaguar,Super V8,super v8
Cadillac,Escalade,escalade hybrid 2wd
Suzuki,Sx4,sx4
Volkswagen,Routan,routan fwd
Jeep,Patriot,patriot 2wd
Bmw,X5,x5 xdrive48i
Infiniti,G37,g37x
Aston Martin,Lagonda,lagonda
Mitsubishi,Precis,precis
Toyota,Cressida,cressida
Cadillac,Eldorado,eldorado convertible
Bill Dovell Motor Car Company,Dovell 230Ce,dovell 230ce
Bitter Gmbh And Co. Kg,Sc,sc
Chevrolet,Sport Van,g30 sport van 2wd
Mitsubishi,Truck,truck 4wd
Chevrolet,Blazer,k5/k10 blazer 4wd
Nissan,Pickup,pickup cab chassis
Plymouth,Voyager,voyager 2wd
Pontiac,Sunbird,2000 sunbird convertible
Mazda,B Pickup,b2600i 4x4
Dodge,Caravan C/V/Grand Caravan,caravan c/v/grand caravan 2wd
Subaru,Loyale,loyale wagon awd
Jaguar,Xjs,xjs coupe
Ford,F150,lightning f150 2wd
Mitsubishi,Montero,montero 4wd
Dodge,Conquest,conquest
Chevrolet,Lumina Minivan,lumina minivan 2wd
Buick,Coachbuilder Wagon,coachbuilder wagon
Dodge,Viper,viper
Ferrari,Ferrari F50,ferrari f50
Mercedes-Benz,E-Class,e320 convertible
Toyota,Cab Chassis,cab chassis 2wd
Gmc,Sierra,sierra 2500 4wd
Gmc,Rally,rally g15/25 2wd
Mitsubishi,Cordia,cordia
Bmw,3 Series,318ti
Bmw,7 Series,750il
Gmc,Safari Cargo,safari awd (cargo)
Bmw,3 Series,328ic
Ford,Aspire,aspire
Mazda,B Pickup,b2300/b3000/b4000 pickup 2wd
Mercedes-Benz,E-Class,e320 sedan
Cadillac,Funeral Coach/Hearse,funeral coach/hearse
Mazda,B Pickup,b2500/b3000/b4000 4wd
Volkswagen,Golf/Gti,new golf
Volkswagen,Jetta,new jetta
Oldsmobile,Intrigue,intrigue
Rolls-Royce,Silver Spur,silver spur
Volkswagen,Passat,passat wagon syncro
Suzuki,Vitara,vitara 4door 4wd
Bmw,5 Series,540i sport wagon
Suzuki,Grand Vitara,grand vitara 4door 2wd
Bmw,Z3,z3 coupe
Mercedes-Benz,Clk-Class,clk320
Audi,A8,a8 quattro
Ford,Ranger,ranger pickup cab chassis
Bmw,3 Series,325xi sport wagon
Lexus,Rx,rx 300 4wd
Mazda,B Pickup,b4000 2wd
Chevrolet,Cavalier,cavalier (bi-fuel cng)
Dodge,Ram Wagon 2500,ram wagon 2500 2wd cng
Pontiac,Firefly,firefly fe
Saab,9-3,9-3 viggen
Mercedes-Benz,E-Class,e320 (wagon)
Volkswagen,Passat,passat wagon 4motion
Lamborghini,Murcielago,l-147 murcielago
Porsche,Carrera 4 S Kit,carrera 4 s kit
Bmw,5 Series,525i sport wagon
Mercedes-Benz,C-Class,c240 (wagon)
Ford,Explorer,explorer hev rwd
"Jba Motorcars, Inc.",W-126/4 Series,w-126/4 series
Ford,Explorer,explorer timberline awd
Bmw,4 Series,m440i convertible
Bmw,X6,x6 xdrive40i
Maserati,Granturismo,granturismo trofeo
Maserati,Granturismo,granturismo modena
Maserati,Grecale,grecale trofeo
Porsche,911,911 carrera t
Chevrolet,Silverado,silverado mud terrain tires 4wd
Gmc,Sierra,sierra 4wd at4x
Bmw,I5,i5 m60 xdrive sedan (21 inch wheels)
Bmw,I7,i7 edrive50 sedan (21 inch wheels)
Hyundai,Ioniq 6,ioniq 6 long range rwd (20 inch wheels)
Rivian,R1S,r1s 21 inch performance dual large
Audi,Q7,q7 quattro
Jeep,Grand Wagoneer,grand wagoneer l 4wd
Lincoln,Corsair,corsair awd phev
Toyota,Mirai,mirai limited
Lexus,Gx,gx 550
Audi,Q4 E-Tron,q4 55 e-tron quattro
Cadillac,Lyriq,lyriq awd
Hyundai,Kona,kona electric standard range
Rivian,R1T,r1t all-terrain dual large (20in)
Rivian,R1T,r1t performance dual standard plus (22in)
Rivian,R1S,r1s dual max (22in)
Maserati,Spyder,spyder
Alfa Romeo,Milano,milano
Nissan,Pulsar Nx,pulsar nx
Volkswagen,Jetta,jetta gli 16v
Gmc,Jimmy,s15 jimmy 4wd
Nissan,Truck,truck cab chassis 2wd
Chevrolet,Corvette,twin-turbo corvette
Geo,Metro,metro lsi
Volvo,740/760,760
Dodge,Monaco,monaco
Nissan,Hardbody,hardbody 2wd
Daihatsu,Rocky,rocky 4wd
Bmw,3 Series,325ix
Rolls-Royce,Corniche/Continental,continental
Mazda,323 Protege,323/323 protege
Mercedes-Benz,230,230e
Chevrolet,Lumina/Apv Minivan,lumina/apv minivan 2wd
Isis Imports Ltd,Morgan Plus 8,morgan plus 8
Subaru,Svx,svx
Volkswagen,Corrado,corrado
Volkswagen,Fox,fox
Jaguar,Xj,xj6
Maserati,Granturismo,granturismo
Chevrolet,V10 (K10) Pickup,v10 (k10) pickup 4wd
Acura,Tlx,tlx fwd
Mercedes-Benz,Gle-Class,gle400 4matic
Bmw,2 Series,230i convertible
Toyota,Prius,prius eco
Infiniti,Q50,q50s red sport
Jaguar,Xf,xf awd
Lexus,Gs,gs 200t
Nissan,Juke,juke awd
Mercedes-Benz,E-Class,amg e43 4matic
Subaru,Impreza/Outback Sport,impreza sport 4-door
Bmw,5 Series,540i xdrive
Mercedes-Benz,E-Class,e400 4matic (station wagon)
Hyundai,Santa Fe,santa fe sport ultimate awd
Hyundai,Santa Fe,santa fe ultimate fwd
Volvo,S90,s90 fwd
Chevrolet,Silverado,silverado k15 cab chassis 4wd
Volvo,S90,s90 awd phev
Bentley,Continental Gt Convertible,continental gt convertible
Mitsubishi,Wagon,wagon
Nissan,Rogue,rogue sport awd
Tesla,Model X,model x awd - 100d
Jaguar,Xf,xf (296 hp)
Gmc,Suburban,r15 suburban 2wd
Honda,Clarity,clarity ev
Porsche,Panamera,panamera turbo s e-hybrid executive
Hyundai,Santa Fe,santa fe xl fwd
Bmw,M,m4 coupe competition
Mercedes-Benz,E-Class,e450 convertible
Mercedes-Benz,S-Class,s450
Audi,Tt,tt coupe quattro
Mercedes-Benz,A-Class,a220
Mercedes-Benz,Slc-Class,amg slc43
Jaguar,Xf,xf 30t
Subaru,Ascent,ascent
Volvo,V60,v60 cc awd
Jaguar,F-Type,f-type svr awd convertible
Toyota,Tacoma,tacoma 4wd d-cab mt trd-orp/pro
Chevrolet,Bolt Ev,bolt ev
Honda,Passport,passport fwd
Hyundai,Ioniq,ioniq electric
Audi,A7,a7 quattro
Nissan,Rogue Sport,rogue sport
Honda,Ridgeline,ridgeline awd
Volkswagen,Arteon,arteon 4motion
Porsche,Cayenne,cayenne e-hybrid coupe
Bmw,X4,x4 m
Mercedes-Benz,Cla-Class,amg cla45 4matic
Land Rover,Defender,defender 110
Audi,Rs,rs 5 sportback
Porsche,Cayenne,cayenne turbo s e-hybrid coupe
Bmw,M,m5 competition
Audi,Sq8,sq8
Toyota,Highlander,highlander hybrid
Polestar,2,2
Ferrari,Sf90 Stradale Coupe,sf90 stradale coupe
Audi,Tt,tt roadster quattro
Alfa Romeo,Giulia,giulia awd
Audi,Tts,tts coupe
Mercedes-Benz,Gle-Class,gle580 4matic
Buick,Encore,encore awd
Ford,Expedition,expedition max 2wd
Ford,F150,f150 pickup 2wd hev
Ford,Ranger,ranger 2wd incomplete
Land Rover,Range Rover,range rover sport p400 mhev
Audi,R8,r8 spyder
Bmw,X5,x5 sdrive40i
Porsche,Cayenne,cayenne/coupe e-hybrid
Bentley,Bentayga,bentayga speed
Porsche,Taycan,taycan 4s cross turismo
Mercedes-Benz,Cla-Class,amg cla35 4matic
Mercedes-Benz,E-Class,amg e53 4matic plus convertible
Ford,Mustang Mach-E,mustang mach-e gt
Volvo,S60,s60 t8 awd recharge ext. range
Land Rover,Range Rover,new range rover
Hyundai,Elantra,elantra hybrid
Hyundai,Santa Fe,santa fe hybrid
Subaru,Impreza,impreza 5-door
Audi,Q5,q5 s-line quattro
Jeep,Gladiator,gladiator ecodiesel 4wd
Bentley,Continental,continental gt convertible speed
Porsche,718,718 cayman
Porsche,Taycan,taycan 4s performance battery
Volkswagen,Id.4,id.4 awd pro
Tesla,Model S,model s
Lucid,Air,air g touring xr awd with 19 inch wheels
Rivian,R1T,r1t (21 inch wheels)
Cadillac,Cts,cts-v
Chrysler,Qc Car,qc car
Ford,Taurus,taurus wagon v6 a/c
Volvo,240,240 wagon
Volvo,740/760,740 wagon
Import Trade Services,Its 190E,its 190e
Import Trade Services,Its 200Te,its 200te
Wallace Environmental,Wetl 850I,wetl 850i
Bmw,5 Series,525i touring
Autokraft Limited,A.C.Mark Iv,a.c.mark iv
Mercedes-Benz,Ml-Class,ml350
Mazda,Tribute,tribute hybrid 2wd
Mercedes-Benz,300,300sdl
Bmw,M,m3 convertible
Bmw,1 Series,128i
Bmw,M,m3 coupe
Porsche,911,911 carrera 4 targa
Porsche,911,911 turbo coupe
Buick,Lucerne,lucerne
Subaru,Impreza/Outback Sport,impreza wagon/outback sport awd
Cadillac,Escalade,escalade hybrid 4wd
Suzuki,Kizashi,kizashi awd
Mazda,Tribute,tribute 4wd ffv
Infiniti,G25,g25
Honda,Crosstour,accord crosstour 2wd
Porsche,911,911 c4 gts cabriolet
Gmc,Sierra,sierra c15 xfe 2wd
Chevrolet,Volt,volt
Mini,John Cooper Works,john cooper works coupe
Ford,E350 Van,e350 van
Gmc,Savana Cargo,savana 3500 2wd (cargo)
Bmw,3 Series,328i coupe
Vpg,Mv-1,mv-1
Ford,Explorer,explorer awd ffv
Ferrari,458 Italia,458 italia spider
Nissan,370Z,370z roadster
Kia,Soul,soul eco
Hyundai,Santa Fe,santa fe sport 2wd
Bmw,3 Series,328i xdrive
Acura,Tsx,tsx wagon
Ford,E150 Van,e150 van ffv
Volvo,780,780
Asc Incorporated,Gnx,gnx
Bmw,6 Series,640i coupe
Bmw,M,m6 coupe
Mini,Clubman,cooper clubman
Dodge,Charger,charger srt8
Nissan,Pathfinder,pathfinder hybrid 4wd
Jaguar,Xjl,xjl ffv
Infiniti,Q60,q60
Bmw,4 Series,435i xdrive coupe
Cadillac,Cts,cts sedan
Rolls-Royce,Phantom,phantom drophead coupe
Chevrolet,Silverado,silverado c15 cab chassis 2wd
Kia,Sedona,sedona sxl
Chevrolet,Colorado,colorado cab chassis 2wd
Volkswagen,Touareg,touareg hybrid
Infiniti,Q50,q50s hybrid awd
Lexus,Nx,nx 300h
Lexus,Nx,nx 300h awd
Mercedes-Benz,Ml-Class,ml250 bluetec 4matic
Bmw,M,m235i convertible
Bentley,Mulsanne,mulsanne
Bmw,X3,x3 sdrive 28i
Hyundai,Genesis,genesis rwd
Mercedes-Benz,Sl-Class,sl400
Mini,Paceman,jcw paceman all4
Ford,F150,f150 5.0l 4wd ffv gvwr>7599 lbs payload package
Infiniti,Q70,q70
Mercedes-Benz,Glc-Class,glc300 4matic
Volkswagen,Scirocco,scirocco 16v
Saturn,L300,l300
Bentley,Arnage,arnage lwb
Mercedes-Benz,S-Class,s55 amg
Mercedes-Benz,C-Class,c240 4matic (wagon)
Mazda,B Pickup,b2300 2wd
Nissan,Frontier,frontier v6 2wd
Chrysler,Pacifica,pacifica awd
Ford,F150,f150 dual-fuel 2wd (lpg)
Aston Martin,Vanquish,v12 vanquish s
Audi,S4,s4 cabriolet
Mercedes-Benz,Clk-Class,clk500
Pontiac,Wave,wave
Chevrolet,Van 15/25 Conversion,van 15/25  2wd conversion
Chevrolet,Van 1500/2500,van 1500/2500 awd
Chrysler,Voyager/Town And Country,voyager/town and country 2wd
Chevrolet,Trailblazer,trailblazer ext 2wd
Aston Martin,Db9,db9 coupe
Lincoln,Zephyr,zephyr
Maybach,57,57
Volvo,V70,v70 r awd
Nissan,Stanza,stanza wagon 2wd
Saturn,Aura,aura
Cadillac,Limousine,limousine
Ferrari,599 Gtb,599 gtb
Maserati,Quattroporte,quattroporte/qp sport gt
Bmw,X3,x3 3.0i
Isuzu,I-370 Extended Cab,i-370 extended cab 2wd
Bmw,X5,x5 3.0si
Bmw,5 Series,528xi
Saturn,Sky,sky
Isuzu,I-370 Crew Cab,i-370 crew cab 4wd
Mercedes-Benz,Gl-Class,gl320 cdi 4matic
Bmw,Z4,z4 coupe
Bmw,3 Series,328ci convertible
Bmw,6 Series,650ci convertible
Bmw,3 Series,328xi sport wagon
Roush Performance,F150,stage 3 f150 regular cab 2wd
Lincoln,Mark Lt,mark lt 4wd
Gmc,Yukon,yukon xl 1500 2wd
Pontiac,G5,g5
Porsche,Carrera 4 S Targa,carrera 4 s targa
Porsche,Carrera 4 Targa,carrera 4 targa
Mercedes-Benz,Cl-Class,cl550 4matic
Chevrolet,Van 1500,van 1500 awd conversion cargo
Infiniti,G37,g37x coupe
Nissan,Versa,versa fe
Bertone,X1/9,x1/9
Pontiac,Fiero,fiero
Bmw,6 Series,6 series
Renault,18I/Wagon/Sportwagon,18i
Subaru,Wagon,wagon
Toyota,Cressida,cressida wagon
Suzuki,Sj 410,sj 410v 4wd
Lotus,Esprit,esprit
Mazda,Glc,glc
Honda,Pilot,pilot awd touring/elite/black
Mercedes-Benz,G-Class,amg g 63 4x4 squared
Bmw,4 Series,m440i coupe
Hyundai,Ioniq 6,ioniq 6 standard range rwd
Bmw,2 Series,m240i coupe
Volvo,S60,s60 b5
Genesis,G90,g90 awd
Bmw,I5,i5 edrive40 sedan (20 inch wheels)
Bmw,Ix,ix xdrive40 (20 inch wheels)
Porsche,718,718 boxster
Land Rover,Range Rover,range rover sv mhev
Land Rover,Range Rover,new range rover p440 phev
Porsche,911,911 carrera 4 gts
Mercedes-Benz,Cla-Class,amg cla45 s 4matic
Ford,Maverick,maverick tremor awd
Kia,Ev9,ev9 standard range rwd
Porsche,911,911 dakar
Hyundai,Nexo,nexo blue
Mercedes-Benz,Cle-Class,cle450 4matic (convertible)
Lincoln,Nautilus,nautilus hev awd
Ford,Explorer,explorer ffv awd
Mercedes-Benz,Eqb,eqb 250 plus
Mercedes-Benz,Eqs,eqs 680 4matic maybach (suv)
Nissan,Ariya,ariya platinum+ e-4orce 87kwh 19in. wheels
Rivian,R1T,r1t all-terrain quad large (20in)
Rivian,R1S,r1s dual large (21in)
Dodge,Hornet,hornet awd
Jeep,J-20 Pickup,j-20 pickup truck 4wd
Chevrolet,Suburban,r10 suburban 2wd
Chevrolet,Blazer,v10 blazer 4wd
Daihatsu,Charade,charade e
Plymouth,Sundance,sundance convertible
Audi,100,100
Nissan,Maxima,maxima wagon
Plymouth,Colt,colt wagon
Suzuki,Samurai,samurai convertible
Evans Automobiles,Series 1,series 1
Maserati,222E,222e
Maserati,430,430
Mercedes-Benz,300,300se
Wallace Environmental,Wetl 190E,wetl 190e 2.3
Cx Automotive,Xm,xm v6
Cadillac,Brougham,brougham
Mercedes-Benz,300,300sel
Volvo,940,940 gle 16-valve wagon
Volkswagen,Vanagon,vanagon syncro 4wd
Dodge,Power Ram 50 Pickup,power ram 50 4wd
Suzuki,Sidekick,sidekick soft-top 4wd
Ford,Festiva,festiva
Chevrolet,Sport Van,g10/20 sport van 2wd
Mercedes-Benz,400,400e
Dodge,Ramcharger,ramcharger 2wd
Audi,100,100 quattro
Ford,Aerostar Wagon,aerostar wagon awd
Land Rover,Range Rover,range rover county
Dodge,Dakota Cab Chassis,dakota cab chassis 2wd
Hyundai,Scoupe,scoupe
Mercedes-Benz,E-Class,e320 coupe
Jaguar,Xj,xj12
Federal Coach,24E,24e
Land Rover,Range Rover,range rover county lwb
Acura,Tl,2.5tl/3.2tl
Mercedes-Benz,C-Class,c36 amg
Lincoln,Mark Viii,mark viii
Suzuki,Sidekick,sidekick 4door 2wd
Chevrolet,Blazer,blazer awd
Land Rover,Range Rover,range rover 4.6
Aston Martin,Db7,db7 coupe
Lexus,Sc,sc 300/sc 400
Oldsmobile,Aurora,aurora
Saab,900,900s convertible
Lexus,Ls,ls 400
Mercedes-Benz,E-Class,e300 turbodiesel
Saab,900,900se
Rolls-Royce,Silver Spur Park Ward,silver spur park ward
Bmw,3 Series,323i
Saturn,Ls,ls
Ford,Ranger,ranger 4wd ffv
Lexus,Es,es 300
Rolls-Royce,Silver Seraph,silver seraph
Rolls-Royce,Park Ward,park ward
Dodge,Ram Wagon 1500,ram wagon 1500 2wd
Chevrolet,Sprint,sprint er
Dodge,Ram Van 2500,ram van 2500 2wd
Ferrari,Enzo Ferrari,enzo ferrari
Gmc,Safari Cargo,safari 2wd conversion (cargo)
Jeep,Grand Wagoneer,grand wagoneer
J.K. Motors,300Sl Merc Benz,300sl merc benz
J.K. Motors,300Ce Merc Benz,300ce merc benz
Saleen,Mustang,mustang s351
Jaguar,Xj,xj6l
Lexus,Sc,sc 430
Bmw,3 Series,328i sport wagon xdrive
Dodge,Viper,viper convertible
Mercedes-Benz,Ml-Class,ml450 hybrid 4matic
Bmw,3 Series,328ci
Mercedes-Benz,E-Class,e350 convertible
Kia,Borrego,borrego 2wd
Bmw,7 Series,alpina b7 lwb
Honda,Crosstour,accord crosstour 4wd
Lexus,Rx,rx 350 awd
Smart,Fortwo,fortwo electric drive coupe
Rolls-Royce,Corniche/Continental,corniche ii
Volkswagen,Cc,cc 4motion
Mercedes-Benz,Sl-Class,sl63 amg
Buick,Lacrosse,lacrosse eassist
Yugo,Gv/Gvx,gv/gvx
Mercedes-Benz,Sls Amg,sls amg roadster
Ford,Fiesta,fiesta sfe fwd
Jaguar,Xj,xj lwb
Mclaren Automotive,Mp4-12C Coupe,mp4-12c coupe
Bmw,7 Series,activehybrid 7
Bmw,3 Series,328i xdrive sport wagon
Mercedes-Benz,Sls Amg,sls amg coupe
Bmw,3 Series,335i coupe
Bmw,5 Series,535i xdrive gran turismo
Mini,Cooper,cooper clubvan
Bmw,M,x6 m
Mercedes-Benz,E-Class,e63 amg s
Gmc,Savana Cargo,savana 1500  awd (cargo)
Gmc,Savana Cargo,savana 2500 2wd conversion (cargo)
Buick,Regal,regal eassist
Mercedes-Benz,C-Class,c250
Bmw,4 Series,435i coupe
Smart,Fortwo,fortwo cabriolet
Rolls-Royce,Silver Spur Limousine,silver spur limousine
